From,To,Season,Flow,Type
Plant1,Sub6,Winter,1277.957255433138,Facility to Substation
Plant1,Sub6,Spring,766.7743532598827,Facility to Substation
Plant1,Sub6,Summer,255.59145108662761,Facility to Substation
Plant1,Sub6,Fall,766.7743532598827,Facility to Substation
Plant3,Sub5,Winter,1451.1790529553355,Facility to Substation
Plant3,Sub5,Spring,919.176852457057,Facility to Substation
Plant3,Sub5,Summer,306.3922841523524,Facility to Substation
Plant3,Sub5,Fall,919.176852457057,Facility to Substation
Plant4,Sub1,Winter,1233.319851021982,Facility to Substation
Plant4,Sub1,Spring,739.991910613188,Facility to Substation
Plant4,Sub1,Summer,246.66397020439643,Facility to Substation
Plant4,Sub1,Fall,739.991910613188,Facility to Substation
Plant4,Sub5,Winter,84.76487127280721,Facility to Substation
Plant5,Sub7,Winter,1255.0303126527972,Facility to Substation
Plant5,Sub7,Spring,753.0181875916784,Facility to Substation
Plant5,Sub7,Summer,251.00606253055946,Facility to Substation
Plant5,Sub7,Fall,753.0181875916784,Facility to Substation
Plant6,Sub3,Winter,258.9598236024398,Facility to Substation
Plant7,Sub3,Winter,1297.6261200557412,Facility to Substation
Plant7,Sub3,Spring,932.6896236589605,Facility to Substation
Plant7,Sub3,Summer,310.89654121964907,Facility to Substation
Plant7,Sub3,Fall,932.6896236589605,Facility to Substation
Sub1,City10,Winter,252.55840961770906,Substation to Customer
Sub1,City10,Spring,151.5350457706254,Substation to Customer
Sub1,City10,Summer,50.51168192354182,Substation to Customer
Sub1,City10,Fall,151.5350457706254,Substation to Customer
Sub1,City12,Winter,325.46657421598684,Substation to Customer
Sub1,City12,Spring,195.2799445295921,Substation to Customer
Sub1,City12,Summer,65.09331484319736,Substation to Customer
Sub1,City12,Fall,195.2799445295921,Substation to Customer
Sub1,City15,Winter,343.47215957616135,Substation to Customer
Sub1,City15,Spring,206.0832957456968,Substation to Customer
Sub1,City15,Summer,68.69443191523229,Substation to Customer
Sub1,City15,Fall,206.0832957456968,Substation to Customer
Sub1,City20,Winter,269.94679234683076,Substation to Customer
Sub1,City20,Spring,161.9680754080974,Substation to Customer
Sub1,City20,Summer,53.98935846936616,Substation to Customer
Sub1,City20,Fall,161.9680754080974,Substation to Customer
Sub3,City5,Winter,258.8252886009787,Substation to Customer
Sub3,City5,Spring,155.29517316058718,Substation to Customer
Sub3,City5,Summer,51.76505772019574,Substation to Customer
Sub3,City5,Fall,155.29517316058718,Substation to Customer
Sub3,City11,Winter,326.4967779363576,Substation to Customer
Sub3,City11,Spring,195.89806676179865,Substation to Customer
Sub3,City11,Summer,65.29935558726186,Substation to Customer
Sub3,City11,Fall,195.89806676179865,Substation to Customer
Sub3,City14,Winter,339.4000535485064,Substation to Customer
Sub3,City14,Spring,203.64003212910382,Substation to Customer
Sub3,City14,Summer,67.88001070970127,Substation to Customer
Sub3,City14,Fall,203.64003212910382,Substation to Customer
Sub3,City17,Winter,271.6551913712126,Substation to Customer
Sub3,City17,Spring,162.99311482272756,Substation to Customer
Sub3,City17,Summer,54.33103827424252,Substation to Customer
Sub3,City17,Fall,162.99311482272756,Substation to Customer
Sub3,City18,Winter,326.0011022423734,Substation to Customer
Sub3,City18,Spring,195.60066134542402,Substation to Customer
Sub3,City18,Summer,65.20022044847468,Substation to Customer
Sub3,City18,Fall,195.60066134542402,Substation to Customer
Sub5,City1,Winter,324.5874130769487,Substation to Customer
Sub5,City1,Spring,194.7524478461692,Substation to Customer
Sub5,City1,Summer,64.91748261538973,Substation to Customer
Sub5,City1,Fall,194.7524478461692,Substation to Customer
Sub5,City4,Winter,302.9450738655177,Substation to Customer
Sub5,City4,Spring,181.76704431931063,Substation to Customer
Sub5,City4,Summer,60.58901477310354,Substation to Customer
Sub5,City4,Fall,181.76704431931063,Substation to Customer
Sub5,City7,Winter,295.84957692581344,Substation to Customer
Sub5,City7,Spring,177.50974615548841,Substation to Customer
Sub5,City7,Summer,59.16991538516281,Substation to Customer
Sub5,City7,Fall,177.50974615548841,Substation to Customer
Sub5,City19,Winter,269.03407083938265,Substation to Customer
Sub5,City19,Spring,161.42044250362957,Substation to Customer
Sub5,City19,Summer,53.80681416787653,Substation to Customer
Sub5,City19,Fall,161.42044250362957,Substation to Customer
Sub5,City21,Winter,310.2434249146978,Substation to Customer
Sub5,City21,Spring,186.1460549488187,Substation to Customer
Sub5,City21,Summer,62.04868498293957,Substation to Customer
Sub5,City21,Fall,186.1460549488187,Substation to Customer
Sub6,City2,Winter,274.42703573579035,Substation to Customer
Sub6,City2,Spring,164.6562214414742,Substation to Customer
Sub6,City2,Summer,54.88540714715808,Substation to Customer
Sub6,City2,Fall,164.6562214414742,Substation to Customer
Sub6,City9,Winter,356.9917868913374,Substation to Customer
Sub6,City9,Spring,214.19507213480244,Substation to Customer
Sub6,City9,Summer,71.39835737826749,Substation to Customer
Sub6,City9,Fall,214.19507213480244,Substation to Customer
Sub6,City13,Winter,256.49241610930153,Substation to Customer
Sub6,City13,Spring,153.8954496655809,Substation to Customer
Sub6,City13,Summer,51.29848322186031,Substation to Customer
Sub6,City13,Fall,153.8954496655809,Substation to Customer
Sub6,City22,Winter,358.47801138143944,Substation to Customer
Sub6,City22,Spring,215.08680682886364,Substation to Customer
Sub6,City22,Summer,71.6956022762879,Substation to Customer
Sub6,City22,Fall,215.08680682886364,Substation to Customer
Sub7,City3,Winter,315.6153607079908,Substation to Customer
Sub7,City3,Spring,189.36921642479453,Substation to Customer
Sub7,City3,Summer,63.12307214159817,Substation to Customer
Sub7,City3,Fall,189.36921642479453,Substation to Customer
Sub7,City6,Winter,338.32317379817124,Substation to Customer
Sub7,City6,Spring,202.9939042789027,Substation to Customer
Sub7,City6,Summer,67.66463475963425,Substation to Customer
Sub7,City6,Fall,202.9939042789027,Substation to Customer
Sub7,City8,Winter,305.518331282704,Substation to Customer
Sub7,City8,Spring,183.31099876962242,Substation to Customer
Sub7,City8,Summer,61.103666256540805,Substation to Customer
Sub7,City8,Fall,183.31099876962242,Substation to Customer
Sub7,City16,Winter,266.16793598261233,Substation to Customer
Sub7,City16,Spring,159.70076158956738,Substation to Customer
Sub7,City16,Summer,53.233587196522464,Substation to Customer
Sub7,City16,Fall,159.70076158956738,Substation to Customer
