From,To,Season,Flow,Type
Plant1,Sub8,Winter,1445.900641409043,Facility to Substation
Plant1,Sub8,Spring,867.5403848454034,Facility to Substation
Plant1,Sub8,Summer,289.18012828180537,Facility to Substation
Plant1,Sub8,Fall,867.5403848454034,Facility to Substation
Plant2,Sub1,Winter,466.29436997137697,Facility to Substation
Plant3,Sub2,Winter,1365.459629907114,Facility to Substation
Plant3,Sub2,Spring,819.275777944273,Facility to Substation
Plant3,Sub2,Summer,273.09192598142494,Facility to Substation
Plant3,Sub2,Fall,819.275777944273,Facility to Substation
Plant3,Sub5,Winter,538.3705323124077,Facility to Substation
Plant3,Sub5,Spring,323.022319387386,Facility to Substation
Plant3,Sub5,Summer,107.67410646239158,Facility to Substation
Plant3,Sub5,Fall,323.022319387386,Facility to Substation
Plant5,Sub1,Winter,863.953093939989,Facility to Substation
Plant5,Sub1,Spring,796.9519681355885,Facility to Substation
Plant5,Sub1,Summer,265.6506560451341,Facility to Substation
Plant5,Sub1,Fall,796.9519681355885,Facility to Substation
Plant5,Sub7,Winter,1305.112183546738,Facility to Substation
Plant5,Sub7,Spring,783.0673101281241,Facility to Substation
Plant5,Sub7,Summer,261.02243670930244,Facility to Substation
Plant5,Sub7,Fall,783.0673101281241,Facility to Substation
Plant6,Sub3,Winter,940.3543674652453,Facility to Substation
Plant6,Sub3,Spring,564.2126204791028,Facility to Substation
Plant6,Sub3,Summer,188.07087349299672,Facility to Substation
Plant6,Sub3,Fall,564.2126204791028,Facility to Substation
Plant6,Sub6,Winter,1331.15044331556,Facility to Substation
Plant6,Sub6,Spring,798.6902659893699,Facility to Substation
Plant6,Sub6,Summer,266.23008866309493,Facility to Substation
Plant6,Sub6,Fall,798.6902659893699,Facility to Substation
Sub1,City6,Winter,340.7145119655145,Substation to Customer
Sub1,City6,Spring,204.4287071793196,Substation to Customer
Sub1,City6,Summer,68.14290239310675,Substation to Customer
Sub1,City6,Fall,204.4287071793196,Substation to Customer
Sub1,City14,Winter,269.0559659189247,Substation to Customer
Sub1,City14,Spring,161.43357955135482,Substation to Customer
Sub1,City14,Summer,53.811193183751364,Substation to Customer
Sub1,City14,Fall,161.43357955135482,Substation to Customer
Sub1,City18,Winter,353.68346535430027,Substation to Customer
Sub1,City18,Spring,212.21007921256103,Substation to Customer
Sub1,City18,Summer,70.73669307086004,Substation to Customer
Sub1,City18,Fall,212.21007921256103,Substation to Customer
Sub1,City20,Winter,335.6091662605575,Substation to Customer
Sub1,City20,Spring,201.36549975633446,Substation to Customer
Sub1,City20,Summer,67.1218332520778,Substation to Customer
Sub1,City20,Fall,201.36549975633446,Substation to Customer
Sub2,City10,Winter,347.10406442052533,Substation to Customer
Sub2,City10,Spring,208.26243865233167,Substation to Customer
Sub2,City10,Summer,69.42081288411057,Substation to Customer
Sub2,City10,Fall,208.26243865233167,Substation to Customer
Sub2,City17,Winter,340.1222615451002,Substation to Customer
Sub2,City17,Spring,204.073356927071,Substation to Customer
Sub2,City17,Summer,68.02445230902367,Substation to Customer
Sub2,City17,Fall,204.073356927071,Substation to Customer
Sub2,City19,Winter,285.1219276214162,Substation to Customer
Sub2,City19,Spring,171.07315657282697,Substation to Customer
Sub2,City19,Summer,57.02438552427623,Substation to Customer
Sub2,City19,Fall,171.07315657282697,Substation to Customer
Sub2,City23,Winter,381.8244351663304,Substation to Customer
Sub2,City23,Spring,229.09466109979817,Substation to Customer
Sub2,City23,Summer,76.36488703326609,Substation to Customer
Sub2,City23,Fall,229.09466109979817,Substation to Customer
Sub3,City1,Winter,274.2428836660763,Substation to Customer
Sub3,City1,Spring,164.54573019962766,Substation to Customer
Sub3,City1,Summer,54.84857673319664,Substation to Customer
Sub3,City1,Fall,164.54573019962766,Substation to Customer
Sub3,City3,Winter,344.09928473422906,Substation to Customer
Sub3,City3,Spring,206.45957084052,Substation to Customer
Sub3,City3,Summer,68.81985694682886,Substation to Customer
Sub3,City3,Fall,206.45957084052,Substation to Customer
Sub3,City9,Winter,292.4486614220065,Substation to Customer
Sub3,City9,Spring,175.46919685319645,Substation to Customer
Sub3,City9,Summer,58.48973228438615,Substation to Customer
Sub3,City9,Fall,175.46919685319645,Substation to Customer
Sub5,City7,Winter,254.84863957860935,Substation to Customer
Sub5,City7,Spring,152.90918374709682,Substation to Customer
Sub5,City7,Summer,50.969727915645024,Substation to Customer
Sub5,City7,Fall,152.90918374709682,Substation to Customer
Sub5,City25,Winter,265.3782745820083,Substation to Customer
Sub5,City25,Spring,159.22696474918462,Substation to Customer
Sub5,City25,Summer,53.07565491638127,Substation to Customer
Sub5,City25,Fall,159.22696474918462,Substation to Customer
Sub6,City2,Winter,361.3607827345916,Substation to Customer
Sub6,City2,Spring,216.81646964076606,Substation to Customer
Sub6,City2,Summer,72.27215654691828,Substation to Customer
Sub6,City2,Fall,216.81646964076606,Substation to Customer
Sub6,City11,Winter,382.05212326964744,Substation to Customer
Sub6,City11,Spring,229.23127396178828,Substation to Customer
Sub6,City11,Summer,76.41042465392943,Substation to Customer
Sub6,City11,Fall,229.23127396178828,Substation to Customer
Sub6,City13,Winter,276.77173683878533,Substation to Customer
Sub6,City13,Spring,166.06304210328182,Substation to Customer
Sub6,City13,Summer,55.35434736774037,Substation to Customer
