Instance,Solver,Facilities,Substations,Customers,Grid Size,Solution Time,Status,Total Cost,Open Substations,Opened Substations
1,Gurobi B&B,5,9,27,100,25.707082271575928,Optimal,1118018.327107863,6.0,"Sub2, Sub3, Sub4, Sub5, Sub6, Sub9"
2,Gurobi B&B,7,10,23,100,12.823514461517334,Optimal,960746.3827819075,7.0,"Sub1, Sub3, Sub4, Sub5, Sub7, Sub8, Sub10"
3,Gurobi B&B,6,8,29,100,13.229512929916382,Optimal,1413043.1529046737,6.0,"Sub1, Sub2, Sub3, Sub4, Sub6, Sub7"
4,Gurobi B&B,5,8,30,100,9.70336651802063,Optimal,1425321.7434815122,5.0,"Sub2, Sub3, Sub4, Sub5, Sub6"
5,Gurobi B&B,8,12,40,100,0.3073244094848633,Infeasible/Error,,,
6,Gurobi B&B,8,13,40,100,0.21954989433288574,Infeasible/Error,,,
7,Gurobi B&B,6,9,30,100,101.28217363357544,Optimal,1166097.9611791293,7.0,"Sub1, Sub2, Sub5, Sub6, Sub7, Sub8, Sub9"
8,Gurobi B&B,9,11,45,100,0.24947857856750488,Infeasible/Error,,,
9,Gurobi B&B,8,13,41,100,0.15702080726623535,Infeasible/Error,,,
10,Gurobi B&B,8,9,38,100,0.11168646812438965,Infeasible/Error,,,
