From,To,Season,Flow,Type
Plant1,Sub4,Winter,228.9442908064515,Facility to Substation
Plant2,Sub2,Winter,578.9467160707069,Facility to Substation
Plant2,Sub2,Spring,347.368029642424,Facility to Substation
Plant2,Sub2,Summer,115.78934321414135,Facility to Substation
Plant2,Sub2,Fall,347.368029642424,Facility to Substation
Plant2,Sub4,Winter,307.6575241715159,Facility to Substation
Plant2,Sub4,Spring,320.88249279203416,Facility to Substation
Plant2,Sub4,Summer,106.96083093067806,Facility to Substation
Plant2,Sub4,Fall,320.88249279203416,Facility to Substation
Plant3,Sub1,Winter,613.9074812035808,Facility to Substation
Plant3,Sub1,Spring,368.3444887221484,Facility to Substation
Plant3,Sub1,Summer,122.78149624071615,Facility to Substation
Plant3,Sub1,Fall,368.3444887221484,Facility to Substation
Sub1,City3,Winter,272.06266090643186,Substation to Customer
Sub1,City3,Spring,163.23759654385913,Substation to Customer
Sub1,City3,Summer,54.41253218128638,Substation to Customer
Sub1,City3,Fall,163.23759654385913,Substation to Customer
Sub1,City6,Winter,323.50117258729597,Substation to Customer
Sub1,City6,Spring,194.10070355237758,Substation to Customer
Sub1,City6,Summer,64.7002345174592,Substation to Customer
Sub1,City6,Fall,194.10070355237758,Substation to Customer
Sub2,City1,Winter,262.5772948132975,Substation to Customer
Sub2,City1,Spring,157.54637688797848,Substation to Customer
Sub2,City1,Summer,52.5154589626595,Substation to Customer
Sub2,City1,Fall,157.54637688797848,Substation to Customer
Sub2,City5,Winter,287.44872124435557,Substation to Customer
Sub2,City5,Spring,172.46923274661333,Substation to Customer
Sub2,City5,Summer,57.489744248871126,Substation to Customer
Sub2,City5,Fall,172.46923274661333,Substation to Customer
Sub4,City2,Winter,282.4295043080185,Substation to Customer
Sub4,City2,Spring,169.45770258481113,Substation to Customer
Sub4,City2,Summer,56.48590086160371,Substation to Customer
Sub4,City2,Fall,169.45770258481113,Substation to Customer
Sub4,City4,Winter,246.94568808195558,Substation to Customer
Sub4,City4,Spring,148.16741284917333,Substation to Customer
Sub4,City4,Summer,49.389137616391125,Substation to Customer
Sub4,City4,Fall,148.16741284917333,Substation to Customer
