From,To,Season,Flow,Type
Plant1,Sub5,Winter,669.3983111665796,Facility to Substation
Plant1,Sub5,Spring,401.63898669994774,Facility to Substation
Plant1,Sub5,Summer,133.87966223331594,Facility to Substation
Plant1,Sub5,Fall,401.63898669994774,Facility to Substation
Plant2,Sub2,Winter,584.1412944490028,Facility to Substation
Plant2,Sub2,Spring,350.48477666940175,Facility to Substation
Plant2,Sub2,Summer,116.82825888980058,Facility to Substation
Plant2,Sub2,Fall,350.48477666940175,Facility to Substation
Plant2,Sub3,Winter,567.7782878223431,Facility to Substation
Plant2,Sub3,Spring,340.6669726934059,Facility to Substation
Plant2,Sub3,Summer,113.55565756446865,Facility to Substation
Plant2,Sub3,Fall,340.6669726934059,Facility to Substation
Plant3,Sub1,Winter,627.4926088228193,Facility to Substation
Plant3,Sub1,Spring,376.4955652936915,Facility to Substation
Plant3,Sub1,Summer,125.49852176456386,Facility to Substation
Plant3,Sub1,Fall,376.4955652936915,Facility to Substation
Sub1,City3,Winter,297.5883702505117,Substation to Customer
Sub1,City3,Spring,178.55302215030702,Substation to Customer
Sub1,City3,Summer,59.517674050102336,Substation to Customer
Sub1,City3,Fall,178.55302215030702,Substation to Customer
Sub1,City7,Winter,311.1546652095337,Substation to Customer
Sub1,City7,Spring,186.6927991257202,Substation to Customer
Sub1,City7,Summer,62.230933041906745,Substation to Customer
Sub1,City7,Fall,186.6927991257202,Substation to Customer
Sub2,City1,Winter,292.07536602121866,Substation to Customer
Sub2,City1,Spring,175.2452196127312,Substation to Customer
Sub2,City1,Summer,58.41507320424374,Substation to Customer
Sub2,City1,Fall,175.2452196127312,Substation to Customer
Sub2,City8,Winter,262.88573848447817,Substation to Customer
Sub2,City8,Spring,157.7314430906869,Substation to Customer
Sub2,City8,Summer,52.57714769689563,Substation to Customer
Sub2,City8,Fall,157.7314430906869,Substation to Customer
Sub3,City4,Winter,233.6298919842081,Substation to Customer
Sub3,City4,Spring,140.17793519052486,Substation to Customer
Sub3,City4,Summer,46.72597839684162,Substation to Customer
Sub3,City4,Fall,140.17793519052486,Substation to Customer
Sub3,City6,Winter,299.6417087783342,Substation to Customer
Sub3,City6,Spring,179.7850252670005,Substation to Customer
Sub3,City6,Summer,59.92834175566684,Substation to Customer
Sub3,City6,Fall,179.7850252670005,Substation to Customer
Sub5,City2,Winter,324.8538209180231,Substation to Customer
Sub5,City2,Spring,194.91229255081382,Substation to Customer
Sub5,City2,Summer,64.97076418360462,Substation to Customer
Sub5,City2,Fall,194.91229255081382,Substation to Customer
Sub5,City5,Winter,327.62224166245966,Substation to Customer
Sub5,City5,Spring,196.5733449974758,Substation to Customer
Sub5,City5,Summer,65.52444833249194,Substation to Customer
Sub5,City5,Fall,196.5733449974758,Substation to Customer
