From,To,Season,Flow,Type
Plant1,Sub1,Winter,498.02759261110197,Facility to Substation
Plant1,Sub1,Spring,298.8165555666611,Facility to Substation
Plant1,Sub1,Summer,99.6055185222204,Facility to Substation
Plant1,Sub1,Fall,298.8165555666611,Facility to Substation
Plant2,Sub2,Winter,306.7269714433032,Facility to Substation
Plant2,Sub2,Spring,184.03618286598194,Facility to Substation
Plant2,Sub2,Summer,61.345394288658184,Facility to Substation
Plant2,Sub2,Fall,184.03618286598194,Facility to Substation
Plant2,Sub3,Winter,577.6455693106473,Facility to Substation
Plant2,Sub3,Spring,346.5873415863863,Facility to Substation
Plant2,Sub3,Summer,115.52911386212634,Facility to Substation
Plant2,Sub3,Fall,346.5873415863863,Facility to Substation
Sub1,City2,Winter,209.93907514691622,Substation to Customer
Sub1,City2,Spring,125.96344508814973,Substation to Customer
Sub1,City2,Summer,41.98781502938325,Substation to Customer
Sub1,City2,Fall,125.96344508814973,Substation to Customer
Sub1,City4,Winter,256.2543849100689,Substation to Customer
Sub1,City4,Spring,153.75263094604134,Substation to Customer
Sub1,City4,Summer,51.250876982013786,Substation to Customer
Sub1,City4,Fall,153.75263094604134,Substation to Customer
Sub2,City3,Winter,281.1293563485245,Substation to Customer
Sub2,City3,Spring,168.67761380911466,Substation to Customer
Sub2,City3,Summer,56.22587126970262,Substation to Customer
Sub2,City3,Fall,168.67761380911466,Substation to Customer
Sub3,City1,Winter,282.02968619690824,Substation to Customer
Sub3,City1,Spring,169.21781171814294,Substation to Customer
Sub3,City1,Summer,56.4059372393794,Substation to Customer
Sub3,City1,Fall,169.21781171814294,Substation to Customer
Sub3,City5,Winter,238.72274474135608,Substation to Customer
Sub3,City5,Spring,143.23364684481376,Substation to Customer
Sub3,City5,Summer,47.74454894827065,Substation to Customer
Sub3,City5,Fall,143.23364684481376,Substation to Customer
