From,To,Season,Flow,Type
Plant2,Sub1,Winter,509.895174206606,Facility to Substation
Plant2,Sub3,Winter,223.87532289850867,Facility to Substation
Plant3,Sub2,Winter,998.5046883219194,Facility to Substation
Plant3,Sub2,Spring,681.924039407087,Facility to Substation
Plant3,Sub2,Summer,227.30801313569566,Facility to Substation
Plant3,Sub2,Fall,681.924039407087,Facility to Substation
Plant4,Sub2,Winter,18.23205731416242,Facility to Substation
Plant4,Sub4,Winter,981.7168038073927,Facility to Substation
Plant4,Sub4,Spring,589.0300822844356,Facility to Substation
Plant4,Sub4,Summer,196.3433607614785,Facility to Substation
Plant4,Sub4,Fall,589.0300822844356,Facility to Substation
Plant5,Sub1,Winter,824.1651769442859,Facility to Substation
Plant5,Sub1,Spring,799.1278209224336,Facility to Substation
Plant5,Sub1,Summer,266.37594030747215,Facility to Substation
Plant5,Sub1,Fall,799.1278209224336,Facility to Substation
Plant5,Sub2,Winter,132.4017213640157,Facility to Substation
Plant6,Sub3,Winter,972.0840119532606,Facility to Substation
Plant6,Sub3,Spring,711.1869216744503,Facility to Substation
Plant6,Sub3,Summer,237.06230722480728,Facility to Substation
Plant6,Sub3,Fall,711.1869216744503,Facility to Substation
Sub1,City1,Winter,301.98298056888194,Substation to Customer
Sub1,City1,Spring,181.18978834132565,Substation to Customer
Sub1,City1,Summer,60.396596113776404,Substation to Customer
Sub1,City1,Fall,181.18978834132565,Substation to Customer
Sub1,City2,Winter,317.7306876881899,Substation to Customer
Sub1,City2,Spring,190.63841261291392,Substation to Customer
Sub1,City2,Summer,63.54613753763798,Substation to Customer
Sub1,City2,Fall,190.63841261291392,Substation to Customer
Sub1,City3,Winter,337.77428052438086,Substation to Customer
Sub1,City3,Spring,202.66456831462642,Substation to Customer
Sub1,City3,Summer,67.55485610487207,Substation to Customer
Sub1,City3,Fall,202.66456831462642,Substation to Customer
Sub1,City15,Winter,345.1218864931761,Substation to Customer
Sub1,City15,Spring,207.0731318959057,Substation to Customer
Sub1,City15,Summer,69.0243772986319,Substation to Customer
Sub1,City15,Fall,207.0731318959057,Substation to Customer
Sub2,City6,Winter,249.19063303955926,Substation to Customer
Sub2,City6,Spring,149.5143798237375,Substation to Customer
Sub2,City6,Summer,49.83812660791249,Substation to Customer
Sub2,City6,Fall,149.5143798237375,Substation to Customer
Sub2,City7,Winter,276.3802380757505,Substation to Customer
Sub2,City7,Spring,165.82814284545034,Substation to Customer
Sub2,City7,Summer,55.27604761515011,Substation to Customer
Sub2,City7,Fall,165.82814284545034,Substation to Customer
Sub2,City12,Winter,277.71307010688645,Substation to Customer
Sub2,City12,Spring,166.62784206413187,Substation to Customer
Sub2,City12,Summer,55.54261402137729,Substation to Customer
Sub2,City12,Fall,166.62784206413187,Substation to Customer
Sub2,City13,Winter,323.86144111360426,Substation to Customer
Sub2,City13,Spring,194.31686466816254,Substation to Customer
Sub2,City13,Summer,64.77228822272086,Substation to Customer
Sub2,City13,Fall,194.31686466816254,Substation to Customer
Sub3,City5,Winter,260.6253422357225,Substation to Customer
Sub3,City5,Spring,156.37520534142993,Substation to Customer
Sub3,City5,Summer,52.12506844714142,Substation to Customer
Sub3,City5,Fall,156.37520534142993,Substation to Customer
Sub3,City8,Winter,269.57306560240454,Substation to Customer
Sub3,City8,Spring,161.74383936143974,Substation to Customer
Sub3,City8,Summer,53.91461312047784,Substation to Customer
Sub3,City8,Fall,161.74383936143974,Substation to Customer
Sub3,City11,Winter,335.82590967584656,Substation to Customer
Sub3,City11,Spring,201.49554580550767,Substation to Customer
Sub3,City11,Summer,67.16518193516617,Substation to Customer
Sub3,City11,Fall,201.49554580550767,Substation to Customer
Sub3,City14,Winter,282.02254113405576,Substation to Customer
Sub3,City14,Spring,169.21352468043014,Substation to Customer
Sub3,City14,Summer,56.40450822680783,Substation to Customer
Sub3,City14,Fall,169.21352468043014,Substation to Customer
Sub4,City4,Winter,342.7212119703111,Substation to Customer
Sub4,City4,Spring,205.63272718218667,Substation to Customer
Sub4,City4,Summer,68.54424239406222,Substation to Customer
Sub4,City4,Fall,205.63272718218667,Substation to Customer
Sub4,City9,Winter,267.86087940162605,Substation to Customer
Sub4,City9,Spring,160.7165276409756,Substation to Customer
Sub4,City9,Summer,53.57217588032521,Substation to Customer
Sub4,City9,Fall,160.7165276409756,Substation to Customer
Sub4,City10,Winter,359.9749949854158,Substation to Customer
Sub4,City10,Spring,215.9849969912495,Substation to Customer
Sub4,City10,Summer,71.99499899708314,Substation to Customer
Sub4,City10,Fall,215.9849969912495,Substation to Customer
