From,To,Season,Flow,Type
Plant2,Sub1,Winter,1145.9061695693779,Facility to Substation
Plant2,Sub1,Spring,687.5437017415759,Facility to Substation
Plant2,Sub1,Summer,229.18123391387553,Facility to Substation
Plant2,Sub1,Fall,687.5437017415759,Facility to Substation
Plant3,Sub8,Winter,1157.979629064559,Facility to Substation
Plant3,Sub8,Spring,694.7877774387224,Facility to Substation
Plant3,Sub8,Summer,231.59592581290744,Facility to Substation
Plant3,Sub8,Fall,694.7877774387224,Facility to Substation
Plant4,Sub3,Winter,619.5925534401425,Facility to Substation
Plant4,Sub3,Spring,371.7555320638147,Facility to Substation
Plant4,Sub3,Summer,123.91851068770586,Facility to Substation
Plant4,Sub3,Fall,371.7555320638147,Facility to Substation
Plant4,Sub5,Winter,1260.4729584363324,Facility to Substation
Plant4,Sub5,Spring,756.2837750617995,Facility to Substation
Plant4,Sub5,Summer,252.09459168757306,Facility to Substation
Plant4,Sub5,Fall,756.2837750617995,Facility to Substation
Plant6,Sub4,Winter,1165.5972715995824,Facility to Substation
Plant6,Sub4,Spring,699.3583629604059,Facility to Substation
Plant6,Sub4,Summer,233.1194543198928,Facility to Substation
Plant6,Sub4,Fall,699.3583629604059,Facility to Substation
Plant6,Sub10,Winter,461.7753643702615,Facility to Substation
Plant7,Sub7,Winter,1021.1857480495214,Facility to Substation
Plant7,Sub7,Spring,612.7114488297128,Facility to Substation
Plant7,Sub7,Summer,204.23714960990415,Facility to Substation
Plant7,Sub7,Fall,612.7114488297128,Facility to Substation
Plant7,Sub10,Winter,580.2783905472282,Facility to Substation
Plant7,Sub10,Spring,621.8883442781831,Facility to Substation
Plant7,Sub10,Summer,207.29611475951944,Facility to Substation
Plant7,Sub10,Fall,621.8883442781831,Facility to Substation
Sub1,City8,Winter,267.1947044124222,Substation to Customer
Sub1,City8,Spring,160.3168226474533,Substation to Customer
Sub1,City8,Summer,53.438940882484445,Substation to Customer
Sub1,City8,Fall,160.3168226474533,Substation to Customer
Sub1,City10,Winter,288.28235934677724,Substation to Customer
Sub1,City10,Spring,172.96941560805394,Substation to Customer
Sub1,City10,Summer,57.65647186935132,Substation to Customer
Sub1,City10,Fall,172.96941560805394,Substation to Customer
Sub1,City14,Winter,284.48562207893934,Substation to Customer
Sub1,City14,Spring,170.69137324732677,Substation to Customer
Sub1,City14,Summer,56.89712441579231,Substation to Customer
Sub1,City14,Fall,170.69137324732677,Substation to Customer
Sub1,City20,Winter,297.9897637118007,Substation to Customer
