Instance,Solver,Facilities,Substations,Customers,Grid Size,Solution Time,Status,Total Cost,Open Substations,Opened Substations
1,Gurobi B&B,5,8,20,100,3.229680299758911,Optimal,1117206.7553480153,6.0,"Sub2, Sub3, Sub4, Sub5, Sub6, Sub7"
2,Gurobi B&B,7,6,23,100,0.6823523044586182,Optimal,1187485.5797130037,5.0,"Sub1, Sub2, Sub4, Sub5, Sub6"
3,Gurobi B&B,7,8,24,100,2.930603265762329,Optimal,1235921.6443267472,6.0,"Sub1, Sub3, Sub4, Sub5, Sub6, Sub7"
4,Gurobi B&B,7,9,19,100,3.2127842903137207,Optimal,904186.8391375478,7.0,"Sub1, Sub3, Sub4, Sub5, Sub6, Sub7, Sub8"
5,Gurobi B&B,6,9,25,100,1.4765100479125977,Optimal,1084297.8720923993,7.0,"Sub1, Sub2, Sub3, Sub5, Sub6, Sub7, Sub8"
6,Gurobi B&B,8,7,22,100,0.4025535583496094,Optimal,762944.3399843876,5.0,"Sub1, Sub3, Sub5, Sub6, Sub7"
7,Gurobi B&B,8,10,23,100,4.985346794128418,Optimal,1041338.2577197823,8.0,"Sub1, Sub3, Sub4, Sub5, Sub6, Sub8, Sub9, Sub10"
8,Gurobi B&B,7,10,26,100,3.8223354816436768,Optimal,1154673.1183189722,7.0,"Sub1, Sub3, Sub4, Sub5, Sub7, Sub8, Sub10"
9,Gurobi B&B,8,12,27,100,0.05125594139099121,Infeasible/Error,,,
10,Gurobi B&B,8,13,29,100,0.05511069297790527,Infeasible/Error,,,
